"","Province_State","date","Confirmed","Deaths","Recovered","Active","confirmrate","deathincrease","deathrate","confirmincrease"
"1","Alabama","2020-03-20",83,0,0,NA,NA,NA,NA,NA
"2","Alabama","2020-03-21",131,0,0,NA,NA,0,NA,48
"3","Alabama","2020-03-22",157,0,0,0,0.541666666666667,0,NA,26
"4","Alabama","2020-03-23",196,0,0,0,1.5,0,NA,39
"5","Alabama","2020-03-24",242,0,0,0,1.17948717948718,0,NA,46
"6","Alabama","2020-03-25",381,1,0,0,3.02173913043478,1,NA,139
"7","Alabama","2020-03-26",517,1,0,0,0.97841726618705,0,0,136
"8","Alabama","2020-03-27",587,4,0,0,0.514705882352941,3,NA,70
"9","Alabama","2020-03-28",694,4,0,0,1.52857142857143,0,0,107
"10","Alabama","2020-03-29",825,10,0,0,1.22429906542056,6,NA,131
"11","Alabama","2020-03-30",899,10,0,0,0.564885496183206,0,0,74
"12","Alabama","2020-04-01",1060,27,0,0,2.17567567567568,17,NA,161
"13","Alabama","2020-04-02",1233,32,0,0,1.07453416149068,5,0.294117647058824,173
"14","Alabama","2020-04-03",1495,38,0,0,1.51445086705202,6,1.2,262
"15","Alabama","2020-04-04",1614,44,0,0,0.454198473282443,6,1,119
"16","Alabama","2020-04-05",1765,45,0,0,1.26890756302521,1,0.166666666666667,151
"17","Alabama","2020-04-06",1952,49,0,0,1.23841059602649,4,4,187
"18","Alabama","2020-04-07",2169,64,0,0,1.16042780748663,15,3.75,217
"19","Alabama","2020-04-08",2328,66,0,0,0.732718894009217,2,0.133333333333333,159
"20","Alabama","2020-04-09",2703,70,0,0,2.35849056603774,4,2,375
"21","Alabama","2020-04-10",2947,80,0,0,0.650666666666667,10,2.5,244
"22","Alabama","2020-04-11",3217,92,0,0,1.10655737704918,12,1.2,270
"23","Alabama","2020-04-12",3563,93,0,3470,1.28148148148148,1,0.0833333333333333,346
"24","Alabama","2020-04-13",3734,99,0,3635,0.494219653179191,6,6,171
"25","Alabama","2020-04-14",3953,114,0,3839,1.28070175438596,15,2.5,219
"26","Alabama","2020-04-15",4075,118,0,3957,0.557077625570776,4,0.266666666666667,122
"27","Alabama","2020-04-16",4345,133,0,4212,2.21311475409836,15,3.75,270
"28","Alaska","2020-03-20",12,0,0,NA,NA,NA,NA,NA
"29","Alaska","2020-03-21",15,0,0,NA,NA,0,NA,3
"30","Alaska","2020-03-22",20,0,0,0,1.66666666666667,0,NA,5
"31","Alaska","2020-03-23",30,0,0,0,2,0,NA,10
"32","Alaska","2020-03-24",34,0,0,0,0.4,0,NA,4
"33","Alaska","2020-03-25",41,1,0,0,1.75,1,NA,7
"34","Alaska","2020-03-26",56,1,0,0,2.14285714285714,0,0,15
"35","Alaska","2020-03-27",58,1,0,0,0.133333333333333,0,NA,2
"36","Alaska","2020-03-28",85,2,0,0,13.5,1,NA,27
"37","Alaska","2020-03-29",102,2,0,0,0.62962962962963,0,0,17
"38","Alaska","2020-03-30",114,3,0,0,0.705882352941177,1,NA,12
"39","Alaska","2020-04-01",132,3,0,0,1.5,0,0,18
"40","Alaska","2020-04-02",143,3,0,0,0.611111111111111,0,NA,11
"41","Alaska","2020-04-03",157,3,0,0,1.27272727272727,0,NA,14
"42","Alaska","2020-04-04",171,5,0,0,1,2,NA,14
"43","Alaska","2020-04-05",185,6,0,0,1,1,0.5,14
"44","Alaska","2020-04-06",190,6,0,0,0.357142857142857,0,0,5
"45","Alaska","2020-04-07",213,6,0,0,4.6,0,NA,23
"46","Alaska","2020-04-08",226,7,0,0,0.565217391304348,1,NA,13
"47","Alaska","2020-04-09",235,7,0,0,0.692307692307692,0,0,9
"48","Alaska","2020-04-10",246,7,0,0,1.22222222222222,0,NA,11
"49","Alaska","2020-04-11",257,8,0,0,1,1,NA,11
"50","Alaska","2020-04-12",272,8,0,264,1.36363636363636,0,0,15
"51","Alaska","2020-04-13",277,8,0,269,0.333333333333333,0,NA,5
"52","Alaska","2020-04-14",285,9,0,276,1.6,1,NA,8
"53","Alaska","2020-04-15",293,9,0,284,1,0,0,8
"54","Alaska","2020-04-16",300,9,0,291,0.875,0,NA,7
"55","American Samoa","2020-03-22",0,0,0,0,NA,NA,NA,NA
"56","American Samoa","2020-03-23",0,0,0,0,NA,0,NA,0
"57","American Samoa","2020-03-24",0,0,0,0,NA,0,NA,0
"58","American Samoa","2020-03-25",0,0,0,0,NA,0,NA,0
"59","American Samoa","2020-03-26",0,0,0,0,NA,0,NA,0
"60","American Samoa","2020-03-27",0,0,0,0,NA,0,NA,0
"61","American Samoa","2020-03-28",0,0,0,0,NA,0,NA,0
"62","American Samoa","2020-03-29",0,0,0,0,NA,0,NA,0
"63","American Samoa","2020-03-30",0,0,0,0,NA,0,NA,0
"64","Arizona","2020-03-20",78,0,0,NA,NA,NA,NA,NA
"65","Arizona","2020-03-21",118,1,0,NA,NA,1,NA,40
"66","Arizona","2020-03-22",152,2,0,0,0.85,1,1,34
