"","Neighborhood","TotalPop","Date","Total.Positives","Total.Tests","PosRate","pctwithcovid"
"1","N1 16th ST HEIGHTS",20131,"5/19/2020",408,134,3.04477611940298,0.0202672495156723
"2","N1 16th ST HEIGHTS",20131,"5/20/2020",433,134,3.23134328358209,0.0215091152948189
"3","N1 16th ST HEIGHTS",20131,"5/21/2020",439,219,2.00456621004566,0.0218071630818141
"4","N1 16th ST HEIGHTS",20131,"5/25/2020",478,351,1.36182336182336,0.0237444736972828
"5","N1 16th ST HEIGHTS",20131,"5/26/2020",485,364,1.33241758241758,0.0240921961154438
"6","N1 16th ST HEIGHTS",20131,"5/27/2020",485,364,1.33241758241758,0.0240921961154438
"7","N1 16th ST HEIGHTS",20131,"5/28/2020",492,393,1.25190839694656,0.0244399185336049
"8","N1 16th ST HEIGHTS",20131,"5/29/2020",501,447,1.12080536912752,0.0248869902140977
"9","N1 16th ST HEIGHTS",20131,"5/30/2020",505,465,1.08602150537634,0.0250856887387611
"10","N1 16th ST HEIGHTS",20131,"5/31/2020",507,481,1.05405405405405,0.0251850380010928
"11","N1 16th ST HEIGHTS",20131,"6/1/2020",507,491,1.03258655804481,0.0251850380010928
"12","N1 16th ST HEIGHTS",20131,"6/2/2020",525,551,0.952813067150635,0.0260791813620784
"13","N1 16th ST HEIGHTS",20131,"6/3/2020",531,773,0.686934023285899,0.0263772291490736
"14","N1 16th ST HEIGHTS",20131,"6/4/2020",534,600,0.89,0.0265262530425712
"15","N1 16th ST HEIGHTS",20131,"6/5/2020",541,646,0.837461300309598,0.0268739754607322
"16","N1 16th ST HEIGHTS",20131,"6/6/2020",546,657,0.831050228310502,0.0271223486165615
"17","N1 16th ST HEIGHTS",20131,"6/7/2020",548,683,0.802342606149341,0.0272216978788932
"18","N1 16th ST HEIGHTS",20131,"6/8/2020",548,792,0.691919191919192,0.0272216978788932
"19","N1 16th ST HEIGHTS",20131,"6/9/2020",556,792,0.702020202020202,0.0276190949282202
"20","N1 16th ST HEIGHTS",20131,"6/10/2020",556,792,0.702020202020202,0.0276190949282202
"21","N1 16th ST HEIGHTS",20131,"6/11/2020",567,891,0.636363636363636,0.0281655158710447
"22","N1 16th ST HEIGHTS",20131,"6/12/2020",574,906,0.63355408388521,0.0285132382892057
"23","N1 16th ST HEIGHTS",20131,"6/13/2020",580,956,0.606694560669456,0.0288112860762009
"24","N1 16th ST HEIGHTS",20131,"6/14/2020",580,969,0.598555211558307,0.0288112860762009
"25","N1 16th ST HEIGHTS",20131,"6/15/2020",587,1002,0.585828343313373,0.0291590084943619
"26","N1 16th ST HEIGHTS",20131,"6/16/2020",589,1033,0.570183930300097,0.0292583577566937
"27","N1 16th ST HEIGHTS",20131,"6/17/2020",591,1054,0.560721062618596,0.0293577070190254
"28","N1 16th ST HEIGHTS",20131,"6/18/2020",593,1075,0.551627906976744,0.0294570562813571
"29","N1 16th ST HEIGHTS",20131,"6/19/2020",598,1114,0.536804308797127,0.0297054294371864
"30","N1 16th ST HEIGHTS",20131,"6/20/2020",601,1133,0.53045013239188,0.029854453330684
